Title,Year,Publisher,Developer
3 Ninjas Kick Back,1994,Sony Imagesoft,Malibu Interactive
The 7th Saga,1993,Enix,Produce
90 Minutes European Prime Goal,1995,Ocean Software,Namco
AAAHHH!!! Real Monsters,1995,Viacom New Media,Realtime Associates
ABC Monday Night Football,1993,Data East,Data East
Acme Animation Factory,1994,Sunsoft,Probe
Actraiser,1991,Enix,Quintet
Actraiser 2,1993,Enix,Quintet
The Addams Family,1992,Ocean Software,Ocean Software
The Addams Family: Pugsley's Scavenger Hunt,1993,Ocean Software,Ocean Software
Addams Family Values,1995,Ocean Software,Ocean Software
The Adventures of Batman & Robin,1994,Konami,Konami
The Adventures of Dr. Franken,1993,DTMC,MotiveTime
The Adventures of Mighty Max,1995,Ocean Software,Ocean Software
The Adventrues of Rocky and Bullwinkle and Friends,1993,THQ,Imagineering
The Adventures of Tintin: Prisoners of the Sun,1996,Infogrames,Infogrames
Adventures of Yogi Bear,1994,Cybersoft,Empire Software
Aero Fighters,1994,Video System,Video System
Areo the Acro-Bat,1993,Sunsoft,Iguana Entertainment
Aero the Acro-Bat 2,1994,Sunsoft,Iguana Entertainment
Aerobiz,1993,Koei,Koei
Aerobiz Supersonic,1994,Koei,Koei
Air Cavalry,1995,Cybersoft,Synergistic Software
Al Unser Jr's Road to the Top,1994,Mindscape,Radical Entertainment
Aladdin,1993,Capcom,Capcom
Alien 3,1992,Acclaim,Probe
Alien Vs Predator,1993,Activision,Jorudan
American Gladiators,1993,GameTec,Imagitec Design
An Americal Tail: Fievel Goes West,1994,Hudson Soft,Shimada Kikaku
Andre Agassi Tennis,1994,Tec Magik,Radiance Software
Another World,1992,Interplay,Delphine Software
Animaniacs,1994,Konami,Konami
Arcade's Greatest Hits: The Atari Collection 1,1997,Midway Games,Digital Eclipse
Arcana,1992,HAL Laboratory,HAL LAboratory
Ardy Lightfoot,1994,Titus Software,ASCII Entertainment
Arkanoid: Doh it Again,1997,Nintendo,Taito
Art of Fighting,1993,Takara,Monolith Corporation
